Campaign Name,Start Date,End Date,Channel,Cost,Leads Generated,Conversion Rate,Customers Converted,Revenue Generated
Q1 Launch Campaign 284,2023-02-19,2023-02-27,Google Ads,3597.27,501,0.91,454,225518.82
Q1 Launch Campaign 285,2023-02-03,2023-02-23,Google Ads,6072.55,201,0.23,46,5183.9
Q3 Blitz Campaign 286,2023-06-18,2023-07-10,Email,2910.29,442,0.66,291,143719.48
Q3 Blitz Campaign 287,2023-03-23,2023-03-30,Print,5016.03,349,0.52,181,13525.23
Back to School Campaign 288,2023-01-10,2023-01-20,Print,6248.08,801,0.06,45,19026.85
Q1 Launch Campaign 289,2023-03-31,2023-04-26,Print,7729.95,121,0.58,70,31717.24
Back to School Campaign 290,2023-03-13,2023-04-12,Email,7254.29,400,0.25,101,8610.81
Summer Sale Campaign 291,2023-03-07,2023-04-04,Google Ads,8573.1,201,0.69,139,17424.76
Summer Sale Campaign 292,2023-05-27,2023-06-13,Social Media,3073.42,928,0.3,276,34232.56
Q3 Blitz Campaign 293,2023-02-08,2023-02-27,Email,6641,184,0.52,96,15488.37
Q3 Blitz Campaign 294,2023-02-05,2023-02-22,TV,2573.87,767,0.78,596,177741.19
Winter Promo Campaign 295,2023-01-01,2023-01-19,Social Media,2235.97,231,0.43,100,25411.33
Back to School Campaign 296,2023-05-19,2023-06-06,TV,6621.32,961,0.72,692,43046.98
Summer Sale Campaign 297,2023-06-08,2023-07-06,Print,7109.29,980,0.41,402,52123.99
Back to School Campaign 298,2023-05-06,2023-05-15,TV,1394.6,644,0.59,382,104629.82
Back to School Campaign 299,2023-02-27,2023-03-19,TV,3602.82,774,0.45,351,79967.46
Q1 Launch Campaign 300,2023-05-10,2023-05-23,Google Ads,6547.02,897,0.56,502,178586.65
Q1 Launch Campaign 301,2023-05-23,2023-06-17,Google Ads,4623.56,982,0.06,60,3348.05
Q3 Blitz Campaign 302,2023-02-21,2023-03-18,Radio,1795.35,381,0.59,224,108738.57
Holiday Special Campaign 303,2023-04-30,2023-05-18,Radio,8068.2,638,0.58,373,66972.45
Q3 Blitz Campaign 304,2023-03-13,2023-03-21,TV,3830.98,402,0.5,203,23873.66
Q3 Blitz Campaign 305,2023-02-04,2023-02-18,Radio,4844.43,311,0.78,243,21711.9
Winter Promo Campaign 306,2023-06-28,2023-07-14,Radio,9808.98,254,0.59,151,26370.11
Q1 Launch Campaign 307,2023-04-30,2023-05-18,Social Media,4910.64,416,0.86,356,65845.78
Back to School Campaign 308,2023-06-21,2023-07-12,Print,7092.06,797,0.4,316,52047.3
Holiday Special Campaign 309,2023-01-28,2023-02-14,Social Media,9924.12,438,0.81,356,59470.38
Q1 Launch Campaign 310,2023-04-30,2023-05-25,TV,2109.99,846,0.65,551,102431.5
Winter Promo Campaign 311,2023-03-16,2023-04-04,TV,1025.25,371,1,371,171581.17
Q3 Blitz Campaign 312,2023-03-03,2023-03-30,Email,4278.25,503,0.6,304,113465.32
Summer Sale Campaign 313,2023-01-22,2023-02-08,Radio,3829.31,123,0.49,60,24711.86
Back to School Campaign 314,2023-06-06,2023-06-28,Google Ads,5993.69,642,0.57,367,120549.14
Back to School Campaign 315,2023-05-19,2023-06-15,Print,1614.63,315,0.09,27,8940.47
Back to School Campaign 316,2023-06-02,2023-06-11,Social Media,3638.68,906,0.7,630,277848.57
Summer Sale Campaign 317,2023-06-12,2023-07-01,Social Media,8569.42,414,0.47,196,90977.94
Q3 Blitz Campaign 318,2023-03-19,2023-04-16,Print,3317.84,539,0.94,508,152707.46
Summer Sale Campaign 319,2023-06-08,2023-07-07,Email,9250.59,157,0.11,17,4416.13
Winter Promo Campaign 320,2023-03-01,2023-03-19,Print,9533.63,601,0.33,197,26364.05
Summer Sale Campaign 321,2023-03-02,2023-03-14,Radio,7893.61,77,0.65,50,16648.94
Back to School Campaign 322,2023-02-05,2023-02-22,Google Ads,3022.43,115,0.16,18,8445.31
Winter Promo Campaign 323,2023-01-23,2023-01-31,Radio,8600.93,754,0.59,445,94145.22
Winter Promo Campaign 324,2023-03-30,2023-04-17,Social Media,9208.43,336,0.18,61,3558.21
Back to School Campaign 325,2023-05-07,2023-05-28,Radio,5960.81,518,0.58,301,62350.57
Back to School Campaign 326,2023-03-19,2023-04-15,Email,5226.92,493,0.53,261,58671.66
Winter Promo Campaign 327,2023-03-24,2023-04-02,Print,3015.99,239,0.97,232,102015.99
Summer Sale Campaign 328,2023-02-05,2023-02-14,Social Media,3678.99,574,0.67,382,165391.79
Back to School Campaign 329,2023-01-29,2023-02-05,Radio,1579.56,538,0.79,424,136678.82
Summer Sale Campaign 330,2023-05-21,2023-06-18,Google Ads,6250.7,624,0.17,107,39973.42
Summer Sale Campaign 331,2023-02-19,2023-03-18,Email,2230.78,460,0.65,299,61047.95
Winter Promo Campaign 332,2023-01-29,2023-02-06,Google Ads,7383.42,487,0.33,160,19327.81
Back to School Campaign 333,2023-05-06,2023-05-26,Print,6088.32,346,0.31,108,12800.76
Holiday Special Campaign 334,2023-06-05,2023-06-21,Google Ads,8432.4,491,0.91,448,212601.69
Back to School Campaign 335,2023-04-27,2023-05-09,Social Media,2232.39,785,0.48,375,171342.85
Q1 Launch Campaign 336,2023-05-10,2023-05-29,TV,3770.51,959,0.1,94,35959.2
Winter Promo Campaign 337,2023-02-25,2023-03-14,Email,5618.41,550,0.81,447,91746.97
Summer Sale Campaign 338,2023-02-20,2023-02-28,Google Ads,2875.52,119,0.44,52,18118.85
Back to School Campaign 339,2023-03-11,2023-03-27,Print,5154.73,297,0.54,160,47481.78
Summer Sale Campaign 340,2023-05-29,2023-06-07,Social Media,2786.98,544,0.37,203,47121.66
Q3 Blitz Campaign 341,2023-06-06,2023-06-22,Print,8532.97,201,0.7,140,43102.3
Winter Promo Campaign 342,2023-03-05,2023-03-17,Google Ads,6539.54,796,0.96,764,156540.58
Back to School Campaign 343,2023-02-13,2023-02-28,TV,7328.41,893,0.78,695,109133.73
Winter Promo Campaign 344,2023-02-12,2023-02-22,Print,8909.46,152,0.39,60,6139.44
Back to School Campaign 345,2023-05-03,2023-05-17,Radio,4977.21,750,0.69,517,144247.22
Q3 Blitz Campaign 346,2023-06-18,2023-07-07,TV,8063.81,596,0.25,150,35045.76
Winter Promo Campaign 347,2023-02-21,2023-03-22,Social Media,6888.49,595,0.97,580,282310.39
Summer Sale Campaign 348,2023-02-27,2023-03-26,Radio,8408.13,671,0.24,160,75202.01
Winter Promo Campaign 349,2023-01-06,2023-01-31,Radio,2769.93,977,0.38,371,79030.18
Holiday Special Campaign 350,2023-03-03,2023-03-11,Social Media,4641.04,477,0.32,151,48938.36
Q1 Launch Campaign 351,2023-04-29,2023-05-08,Print,7939.99,148,0.1,15,1223.52
Holiday Special Campaign 352,2023-03-12,2023-03-19,Email,9039.91,995,0.62,617,36681.69
Q3 Blitz Campaign 353,2023-04-26,2023-05-16,Google Ads,6835.08,250,0.39,97,44091.01
Q1 Launch Campaign 354,2023-05-01,2023-05-13,Google Ads,6685.89,354,0.14,51,18159.66
Holiday Special Campaign 355,2023-01-22,2023-02-21,Google Ads,8333.39,544,0.06,35,13816.6
Winter Promo Campaign 356,2023-01-24,2023-02-01,Print,3808.71,594,0.14,81,9887.09
Winter Promo Campaign 357,2023-01-29,2023-02-19,TV,5986.45,988,0.76,753,94779.2
Summer Sale Campaign 358,2023-02-10,2023-02-25,Social Media,2091.45,633,0.17,106,50999.81
Q3 Blitz Campaign 359,2023-04-23,2023-05-10,Google Ads,8024.24,998,0.63,628,156359.34
Holiday Special Campaign 360,2023-05-29,2023-06-18,Google Ads,7669.22,135,0.95,128,46521
Q1 Launch Campaign 361,2023-03-31,2023-04-11,Print,6892.9,339,0.43,147,10596.31
Winter Promo Campaign 362,2023-02-08,2023-02-27,Google Ads,7236.99,486,0.97,470,47607.66
Holiday Special Campaign 363,2023-02-13,2023-02-22,Radio,4395.11,634,0.38,238,20362.29
Q1 Launch Campaign 364,2023-06-17,2023-07-15,Social Media,6723.67,707,0.23,163,17463.55
Winter Promo Campaign 365,2023-01-10,2023-02-01,Radio,5952.36,820,0.4,325,46694.11
Q1 Launch Campaign 366,2023-03-06,2023-03-17,Google Ads,2569.57,322,0.54,175,21549.83
Q1 Launch Campaign 367,2023-01-18,2023-01-26,Email,6796.09,923,0.56,516,136912.81
Winter Promo Campaign 368,2023-01-27,2023-02-04,TV,5669.14,719,0.14,98,37913.43
Back to School Campaign 369,2023-01-23,2023-02-16,Print,6199.98,703,0.17,122,40093.9
Winter Promo Campaign 370,2023-03-03,2023-03-18,Social Media,8525.67,728,0.85,618,162126.04
Summer Sale Campaign 371,2023-04-16,2023-04-23,Email,5519.3,599,0.72,431,189891.73
Summer Sale Campaign 372,2023-02-26,2023-03-08,Radio,2073.1,732,0.59,435,71815.32
Winter Promo Campaign 373,2023-02-18,2023-03-06,Social Media,2527.23,658,0.53,347,20699.35
Q1 Launch Campaign 374,2023-04-23,2023-05-06,Radio,5110.65,920,0.55,504,87810.29
Winter Promo Campaign 375,2023-01-29,2023-02-13,Google Ads,2801.27,395,0.98,388,111845.67
Back to School Campaign 376,2023-01-20,2023-02-02,Google Ads,1481.58,98,0.49,48,12178.48
Q1 Launch Campaign 377,2023-04-16,2023-05-02,TV,5670.8,558,0.1,57,9186.87
Back to School Campaign 378,2023-01-30,2023-02-22,Google Ads,8455.06,474,0.06,27,13442.52
Back to School Campaign 379,2023-03-03,2023-04-01,TV,5132,746,0.82,615,243162.96
Back to School Campaign 380,2023-04-05,2023-04-17,Email,7082.66,278,0.15,43,19755.62
Back to School Campaign 381,2023-03-03,2023-03-22,Radio,8927,353,0.15,53,15205.86
Q3 Blitz Campaign 382,2023-05-07,2023-05-14,TV,6648.39,319,0.56,180,21364.9
Back to School Campaign 383,2023-05-01,2023-05-21,Email,8573.49,177,0.64,114,6851.5
Q1 Launch Campaign 384,2023-03-21,2023-04-03,Radio,9588.74,567,0.33,188,10048.32
Holiday Special Campaign 385,2023-06-21,2023-07-10,Email,6346.97,521,0.48,252,45872.3
Back to School Campaign 386,2023-03-18,2023-03-27,Social Media,8303.24,433,0.48,208,63513.17
Back to School Campaign 387,2023-06-25,2023-07-03,Radio,5168.68,941,0.01,14,1350.61
Q3 Blitz Campaign 388,2023-03-26,2023-04-21,Radio,5895.42,420,0.7,292,28069.97
Summer Sale Campaign 389,2023-05-03,2023-05-29,Radio,9439.33,532,0.14,76,27123.24
Q1 Launch Campaign 390,2023-05-12,2023-06-07,Radio,4334.15,447,0.8,356,125209.12
Summer Sale Campaign 391,2023-01-12,2023-01-28,TV,6920.68,649,0.93,602,47660.97
Winter Promo Campaign 392,2023-04-28,2023-05-14,TV,3420.3,973,0.65,633,231433.29
Holiday Special Campaign 393,2023-05-06,2023-06-02,Radio,1604.9,282,0.56,158,42411.09
Holiday Special Campaign 394,2023-01-04,2023-01-25,TV,7676.96,961,0.3,287,127136.3
Q1 Launch Campaign 395,2023-05-16,2023-05-28,Google Ads,4204.5,726,0.17,123,57714.1
Back to School Campaign 396,2023-02-13,2023-03-14,TV,2728.27,577,0.78,450,121359.07
Q3 Blitz Campaign 397,2023-02-09,2023-02-19,Radio,6568.25,567,0.16,90,31550.5
Q1 Launch Campaign 398,2023-02-23,2023-03-13,Print,7782.36,684,0.91,625,108273.51
Summer Sale Campaign 399,2023-05-22,2023-06-19,Radio,1008.9,85,0.14,12,4048.14
Back to School Campaign 400,2023-05-01,2023-05-29,TV,9211.74,599,0.65,390,131340.6
Winter Promo Campaign 401,2023-06-27,2023-07-15,Print,9449.85,758,0.93,707,349515.78
Q1 Launch Campaign 402,2023-05-23,2023-06-15,Print,7430.55,574,0.87,502,223097.36
Back to School Campaign 403,2023-04-07,2023-04-17,Email,5749.07,821,0.55,451,185568.28
Winter Promo Campaign 404,2023-05-18,2023-06-04,TV,4245.38,978,0.62,608,204432.72
Winter Promo Campaign 405,2023-02-02,2023-02-14,Radio,3560.7,630,0.6,379,91763.8
Holiday Special Campaign 406,2023-02-19,2023-02-26,Print,4286.03,207,0.08,17,5512.7
Summer Sale Campaign 407,2023-02-11,2023-03-07,Radio,7475.79,131,0.44,57,27185.52
Q1 Launch Campaign 408,2023-05-17,2023-06-03,Google Ads,1141.16,830,0.28,236,45562.85
Back to School Campaign 409,2023-01-01,2023-01-31,Print,4747.96,224,0.14,31,9053.39
Winter Promo Campaign 410,2023-02-21,2023-02-28,TV,5647.54,309,0.94,289,98266.19
Q1 Launch Campaign 411,2023-03-27,2023-04-16,Social Media,2245.61,866,0.45,389,55459.91
Back to School Campaign 412,2023-06-12,2023-06-21,TV,6962.03,997,0.61,608,148016.58
Summer Sale Campaign 413,2023-05-29,2023-06-12,Google Ads,5997.09,450,0.67,300,67056.38
Holiday Special Campaign 414,2023-02-16,2023-03-11,Print,4845.11,829,0.59,486,156402.84
Summer Sale Campaign 415,2023-05-26,2023-06-09,Google Ads,3962.22,183,0.97,178,76799.81
Summer Sale Campaign 416,2023-05-29,2023-06-18,Print,6573.08,486,0.93,454,117287.93
Back to School Campaign 417,2023-06-01,2023-06-15,Print,6163.64,638,0.65,413,104452.6
Summer Sale Campaign 418,2023-06-02,2023-06-28,Email,5411.59,229,0.55,126,60785.2
Q3 Blitz Campaign 419,2023-04-03,2023-04-26,Email,5777.22,786,0.84,663,197231.5
Back to School Campaign 420,2023-01-28,2023-02-06,Social Media,6802.34,255,0.05,13,5757.94
Winter Promo Campaign 421,2023-02-12,2023-03-10,Email,1446.54,853,0.44,377,61960.11
Holiday Special Campaign 422,2023-05-18,2023-06-08,Radio,9821.85,249,0.74,185,18900.65
Summer Sale Campaign 423,2023-02-10,2023-03-02,Google Ads,3640.2,945,0.98,929,115089.23
Summer Sale Campaign 424,2023-05-20,2023-06-07,Radio,6711.15,347,0.72,250,26386.86
Q1 Launch Campaign 425,2023-03-10,2023-03-23,Google Ads,2331.09,172,0.36,62,17174.74
Holiday Special Campaign 426,2023-01-27,2023-02-13,Social Media,1402.11,123,0.88,108,28748.47
Summer Sale Campaign 427,2023-03-02,2023-03-16,TV,2381.14,531,0.45,238,94602.61
Holiday Special Campaign 428,2023-03-16,2023-04-02,Radio,2147.16,825,0.98,805,100644.56
Summer Sale Campaign 429,2023-05-29,2023-06-24,Radio,7260.95,114,0.14,16,3528.78
Winter Promo Campaign 430,2023-06-17,2023-06-27,Radio,7991.75,703,0.26,182,71118.76
Q3 Blitz Campaign 431,2023-02-26,2023-03-14,Print,3439.01,699,0.6,420,103610.93
Holiday Special Campaign 432,2023-03-05,2023-03-25,Social Media,2991.39,358,0.87,313,71876.01
Holiday Special Campaign 433,2023-02-06,2023-02-17,Email,5149.1,649,0.2,133,52203.94
Holiday Special Campaign 434,2023-05-31,2023-06-12,TV,2245.39,521,0.44,230,96630.89
Winter Promo Campaign 435,2023-06-21,2023-06-28,Social Media,5588.72,97,0.35,34,9444.15
Back to School Campaign 436,2023-06-20,2023-07-14,Print,2220.2,676,0.61,411,51723.04
Winter Promo Campaign 437,2023-05-30,2023-06-09,Print,8421.92,778,0.17,136,53004.01
Back to School Campaign 438,2023-02-25,2023-03-05,Email,7222.48,142,0.08,11,787.69
Back to School Campaign 439,2023-03-26,2023-04-21,Social Media,1290.91,493,0.9,446,94277.49
Winter Promo Campaign 440,2023-02-04,2023-02-17,Social Media,4488.77,696,0.71,495,46620.95
Holiday Special Campaign 441,2023-04-02,2023-04-09,Print,2584.49,744,0.14,105,31493.15
Winter Promo Campaign 442,2023-06-21,2023-07-17,Print,7661.64,81,0.98,79,31930.09
Back to School Campaign 443,2023-02-09,2023-02-27,TV,6823.63,662,0.33,216,37794
Winter Promo Campaign 444,2023-03-09,2023-04-04,TV,9161.39,551,0.51,283,49387.38
Winter Promo Campaign 445,2023-06-30,2023-07-26,Email,9755.53,886,0.68,600,120922.73
Q1 Launch Campaign 446,2023-02-16,2023-03-09,Social Media,6517.82,636,0.11,70,4239.19
Winter Promo Campaign 447,2023-03-10,2023-03-17,TV,1200.42,515,0.39,201,95949.26
Winter Promo Campaign 448,2023-04-10,2023-05-05,Google Ads,5585.26,332,0.51,170,51477.49
Winter Promo Campaign 449,2023-03-04,2023-03-31,TV,8330.35,670,0.99,662,329108.81
Winter Promo Campaign 450,2023-01-03,2023-01-26,Google Ads,6177.73,98,0.82,80,16889.2
Holiday Special Campaign 451,2023-03-23,2023-04-14,Social Media,5922.7,334,0.88,294,130742.15
Q1 Launch Campaign 452,2023-02-23,2023-03-04,Email,1035.82,774,0.76,585,279008.07
Q3 Blitz Campaign 453,2023-05-14,2023-06-05,Social Media,7579.03,387,0.94,363,139789.77
Q1 Launch Campaign 454,2023-05-07,2023-05-20,Google Ads,6154.51,995,0.88,875,60536.01
Back to School Campaign 455,2023-01-31,2023-02-12,TV,4321.4,618,0.74,455,171104.26
Back to School Campaign 456,2023-01-23,2023-02-06,Social Media,7207.67,152,0.88,134,11542.75
Winter Promo Campaign 457,2023-01-27,2023-02-15,Google Ads,4857.03,721,0.5,364,108504.04
Holiday Special Campaign 458,2023-06-29,2023-07-12,Email,4030.98,303,0.18,54,15036.91
Q1 Launch Campaign 459,2023-02-05,2023-03-06,Social Media,9674.89,649,0.95,615,142372.44
Winter Promo Campaign 460,2023-03-01,2023-03-16,Social Media,3569.82,113,0.47,53,14054.69
Winter Promo Campaign 461,2023-04-26,2023-05-22,Radio,9055.34,522,0.44,232,76234.21
Winter Promo Campaign 462,2023-04-17,2023-05-15,Google Ads,1762.43,469,0.31,144,31765.12
Q3 Blitz Campaign 463,2023-06-06,2023-07-02,Radio,4314.24,497,0.98,489,134301.7
Q1 Launch Campaign 464,2023-04-10,2023-05-01,Social Media,9693.16,368,0.33,120,50736.71
Holiday Special Campaign 465,2023-03-21,2023-04-14,Print,1198.98,879,0.19,164,48393.67
Winter Promo Campaign 466,2023-05-15,2023-06-02,Print,3919.2,279,0.91,255,84715.71
Q1 Launch Campaign 467,2023-04-17,2023-04-27,Radio,1171.4,614,0.1,62,21258.06
Q3 Blitz Campaign 468,2023-02-18,2023-03-16,TV,7553.83,358,0.75,267,81621.83
Back to School Campaign 469,2023-05-23,2023-06-03,Social Media,9237.28,849,0.54,455,23137.49
Q1 Launch Campaign 470,2023-06-19,2023-06-28,Google Ads,5470.44,64,0.44,28,10750.27
Back to School Campaign 471,2023-01-01,2023-01-28,Email,7984.06,113,0.27,31,4411.21
Winter Promo Campaign 472,2023-01-15,2023-02-01,Google Ads,5555.47,96,0.73,70,25983.89
Q1 Launch Campaign 473,2023-03-26,2023-04-13,Google Ads,2208.45,350,0.38,134,18420.76
Back to School Campaign 474,2023-06-25,2023-07-14,TV,3329.6,768,0.06,46,21083.31
Back to School Campaign 475,2023-06-08,2023-06-18,Radio,2083.23,114,0.83,95,30506.56
Winter Promo Campaign 476,2023-03-08,2023-04-03,Google Ads,4770.15,745,0.66,492,81863.8
Back to School Campaign 477,2023-04-25,2023-05-19,Email,1875.92,364,0.93,337,23749.92
Summer Sale Campaign 478,2023-05-24,2023-06-12,TV,7319.72,70,0.37,26,12241.81
Q3 Blitz Campaign 479,2023-06-01,2023-06-12,Email,7612.23,252,0.58,145,30385.49
Holiday Special Campaign 480,2023-03-17,2023-04-13,Google Ads,2970.79,924,0.6,558,51309.41
Q3 Blitz Campaign 481,2023-02-13,2023-02-21,Print,8776.87,655,0.53,345,42816.47
Holiday Special Campaign 482,2023-06-29,2023-07-10,Social Media,1773.09,392,0.53,209,27703.18
Summer Sale Campaign 483,2023-02-16,2023-03-14,Email,7568.09,226,0.1,23,4314.76
Holiday Special Campaign 484,2023-04-13,2023-05-07,TV,7100.2,165,0.72,119,51044.1
Holiday Special Campaign 485,2023-06-10,2023-06-30,Social Media,6421.76,293,0.69,203,56519.71
Back to School Campaign 486,2023-05-24,2023-06-13,Radio,3676.75,80,0.75,60,27514.41
Holiday Special Campaign 487,2023-04-09,2023-05-05,Email,6818.03,978,0.84,821,334120.83
Q3 Blitz Campaign 488,2023-02-09,2023-03-09,Print,6570.72,469,0.16,74,32166.43
Winter Promo Campaign 489,2023-03-15,2023-04-03,Social Media,2305.11,101,0.67,68,23608.08
Summer Sale Campaign 490,2023-03-07,2023-03-26,Google Ads,4885.08,665,0.37,243,47489.07
Back to School Campaign 491,2023-02-06,2023-02-14,Google Ads,2516.53,645,0.05,35,11960.71
Holiday Special Campaign 492,2023-01-29,2023-02-17,Radio,2312.48,359,0.05,18,8310.48
Holiday Special Campaign 493,2023-02-06,2023-03-07,Radio,9256.54,353,0.88,309,48919.61
Q1 Launch Campaign 494,2023-02-11,2023-02-19,Google Ads,8925.18,851,0.59,503,217388.58
Q1 Launch Campaign 495,2023-06-21,2023-07-15,Print,5968.53,741,0.43,317,112631.41
Q1 Launch Campaign 496,2023-06-24,2023-07-19,Google Ads,6302.04,629,0.93,582,149899
Q1 Launch Campaign 497,2023-03-06,2023-03-15,Google Ads,6902.07,245,0.89,217,33254.64
Q3 Blitz Campaign 498,2023-02-14,2023-03-04,TV,7610.87,163,0.06,10,3928.24
Holiday Special Campaign 499,2023-03-02,2023-03-29,Email,5781.17,908,0.97,878,253054.7
Holiday Special Campaign 500,2023-06-27,2023-07-07,Google Ads,9447.86,90,0.28,25,10469.51
